SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Young's Modulus (kPa) log10,À´Ô´
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],[H][Si]([H])([H])[H],,6.698970004336019,10.1080_15440478.2020.1848723_part_5.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,6.283301228703549,10.1080_17480272.2011.606915_part_1.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,[Mg],N(CC)(CC)CC,O=C(CN(CN(CC(O)=O)CC(O)=O)CC(O)=O)O,4.230448921378274,10.3390_polym8090318_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,6.661812685537261,10.1177_0021998312462618_part_2.txt_¶Î1_Material1
[*]CC(C1=CC=CC=C1)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,6.246498580795801,10.1007_s10570-015-0787-8_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],[H][Si]([H])([H])[H],,,7,10.3390_fib6030058_part_4.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,,4.743509764728429,10.1007_s00289-017-2088-x_part_5.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]CCCC([*])C(OC)=O,[*]C/C=C/CCC([*])C#N,,,6.528736777724652,10.1002_app.32458_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[Al],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,O=[Si]=O,,6.247973266361806,10.1002_adv.21913_part_1.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[H][Si]([H])([H])[H],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,5.222976449893391,10.1002_pc.23331_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O,[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],4.658011396657113,10.1016_j.ijadhadh.2011.12.005_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,6.156851901070011,10.1002_pi.6079_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Ag],[*]OCC[*],5.560743301054712,10.1039_c6ra12192f_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,O=C([*])C(C)O[*],,,6.578639209968072,10.3390_polym13152531_part_3.txt_¶Î1_Material1
[*]NC(C)C(N1CCCC1C([*])=O)=O,,,,,6.079181246047625,10.1016_j.jbiomech.2017.11.021_part_2.txt_¶Î1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,6.301897717195208,10.3390_ma8125451_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,3.57978359661681,10.1016_j.compositesa.2011.12.015_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[H][Si]([H])([H])[H],,6.193124598354461,10.3390_ma9050314_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[Al],,,,6.301029995663981,10.1007_s10853-018-3049-y_part_1.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]C([H])([H])C(O)([H])[*],[*]C(C(OC1O[*])COC(O[Na])=O)C(O)C1N,[*]OCC[*],,6,10.3389_fphar.2023.1117542_OA_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C/C=C/CCC([*])C#N,CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,6.222716471147583,10.1002_vnl.21612_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C/C=C/CCC(C/C=C\C[*])C=C,,,,6.281033367247727,10.1002_app.35417_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Al],,,,6.869231719730976,10.1007_s10570-021-04037-9_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],,,,,6.531478917042255,10.1002_pc.25894_part_2.txt_¶Î1_Material1
[*]C(C)C[*],O=[Si]=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,CC(CC(C(C(O1)=O)CC1=O)[*])C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,6.324981703087369,10.1007_s13726-020-00794-9_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,6.510545010206612,10.4172_2165-8064.1000207_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCC[*],[*]OCC[*],[Na+].[Cl-],,6.079181246047625,10.1007_s10570-018-2101-z_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,CCCC[Sn](OC(CC(C)CCCCCCCC)=O)(OC(CCCCCCCCCCC)=O)CCCC,,5.301029995663981,10.4028_www.scientific.net_kem.531-532.317_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C#N)[*],,,,5.326335860928752,10.1002_pc.23015_part_1.txt_¶Î1_Material1
[*]CCCCO[*],,,,,3.740362689494244,10.1007_s00289-017-2088-x_part_4.txt_¶Î1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,O=[Al]O[Al]=O,O=[Si]=O,,6.342422680822207,10.1016_j.compositesa.2013.08.002_part_2.txt_¶Î1_Material1
