SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Elongation at Break (%) log10,À´Ô´
C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,2.6580113966571126,10.1016_j.compositesa.2011.12.015_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[H][Si]([H])([H])[H],,0.4313637641589873,10.3390_ma9050314_part_1.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]C([H])([H])C(O)([H])[*],[*]C(C(OC1O[*])COC(O[Na])=O)C(O)C1N,[*]OCC[*],,2,10.3389_fphar.2023.1117542_OA_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[C],,,2.544068044350276,10.1088_1361-665x_aaaba0_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C/C=C/CCC([*])C#N,CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,1.255272505103306,10.1002_vnl.21612_part_1.txt_¶Î1_Material1
[*]C/C=C\CCC(C=C)[*],[H][O-],,,,2.6989700043360187,10.1002_app.49374_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(CCCCCO[*])=O,OCCCCO,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,2.946550510569855,10.1007_s00289-018-2304-3_part_3.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Al],,,,0.0086001717619175,10.1007_s10570-021-04037-9_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],,,,,2.212986184736668,10.1002_pc.25894_part_2.txt_¶Î1_Material1
O=C(C(C[*])[*])N,Cl[Ca]Cl,,,,3.397940008672037,10.1002_app.47905_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[H][Si]([H])([H])[H],,,1.999130541287371,10.1080_03602559.2014.909478_part_1.txt_¶Î1_Material2
[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],O=C(C(C[*])[*])N,,,2.6857417386022635,10.1007_s40843-023-2524-4_OA_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,,,,,2,10.1177_0307174x1404101109_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O.O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O,,,2.7781512503836434,10.1016_j.eurpolymj.2011.01.001_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,O=[Ti]=O,,,,0.6106601630898799,10.1051_matecconf_20167801033_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCC[*],[*]OCC[*],[Na+].[Cl-],,1.6551384348113822,10.1007_s10570-018-2101-z_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C#N)[*],,,,1.99563519459755,10.1002_pc.23015_part_1.txt_¶Î1_Material1
[*]CCCCO[*],,,,,2.3521825181113627,10.1007_s00289-017-2088-x_part_4.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,,2.724275869600789,10.1080_03602559.2010.496425_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,1.740362689494244,10.4028_www.scientific.net_msf.885.298_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,1.4638929889859074,10.1080_02533839.2019.1613929_part_1.txt_¶Î1_Material1
[*]CC(C1=CC=CC=C1)[*],,,,,0.6901960800285137,10.1002_pen.22135_part_2.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C([H])([H])C(O)([H])[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,OC(C(CC(O)=O)(CC(O)=O)O)=O,1,10.1016_j.compscitech.2010.05.022_part_1.txt_¶Î1_Material1
[*]CC[*],O=[Ti]=O,O=[Al]O[Al]=O,,,1.0492180226701815,10.1177_0731684413493340_part_2.txt_¶Î1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,2.0791812460476247,10.1002_app.32616_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],N(CC)(CC)CC,O=C([CH3])[CH3],,,2,10.1002_pi.3112_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,N(CC)(CC)CC,CCCC[Sn](OC(CC(C)CCCCCCCC)=O)(OC(CCCCCCCCCCC)=O)CCCC,,2.1818435879447726,10.1016_j.porgcoat.2020.105545_part_1.txt_¶Î1_Material1
CC(C[*])O[*],,,,,1.2787536009528289,10.4028_www.scientific.net_msf.986.18_part_1.txt_¶Î1_Material1
NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,O=C1C([*])C(CC[*])C(O1)=O,[H][O-],,,1.568201724066995,10.1007_s10924-018-1296-2_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],OCC(O)CO,[*]OCC[*],,,2.3521825181113627,10.4028_www.scientific.net_kem.737.287_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[Mg],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,[*]C(C)C[*],,0.7558748556724915,10.1002_pc.24926_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,2.495835619527313,10.1002_app.41158_part_1.txt_¶Î1_Material1
[*]CC[*],O=C1C([*])C(CC[*])C(O1)=O,,,,1.0413926851582251,10.1177_0892705720962170_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,,,,0.3979400086720376,10.4028_www.scientific.net_kem.798.322_part_1.txt_¶Î1_Material1
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]C/C=C/CCC(C=C)CC([*])C1=CC=CC=C1,[C],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,2.4771212547196626,10.1515_ract-2019-3112_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,1.6989700043360187,10.1002_pc.26053_part_2.txt_¶Î1_Material1
